assists,blocks,field_goal_attempts,field_goals,free_throw_attempts,free_throws,match_date,minutes,personal_fouls,player_name,points,quarter,rebounds,source_url,steals,team,three_point_field_goal_attempts,three_point_field_goals,turnovers
0,0,0,0,2,2,20231025,1:44,0,Danilo Gallinari,2,Q4,1,https://www.basketball-reference.com/boxscores/202310250IND.html,0,WAS,0,0,0
0,0,2,2,0,0,20231024,7:32,2,Kentavious Caldwell-Pope,4,Q4,1,https://www.basketball-reference.com/boxscores/202310240DEN.html,1,DEN,0,0,0
,,,,,,20231201,,,Goga Bitadze,,Q4,,https://www.basketball-reference.com/boxscores/202312010ORL.html,,ORL,,,
0,0,0,0,2,1,20231201,0:53,0,Anthony Black,1,Q4,0,https://www.basketball-reference.com/boxscores/202312010ORL.html,0,ORL,0,0,0
1,0,4,3,2,2,20231201,10:37,0,Payton Pritchard,10,Q4,1,https://www.basketball-reference.com/boxscores/202312010BOS.html,1,BOS,3,2,0
0,0,3,1,3,3,20231024,6:15,1,Stephen Curry,6,Q4,1,https://www.basketball-reference.com/boxscores/202310240GSW.html,0,GSW,3,1,1
0,0,1,1,1,1,20231024,9:46,0,Kevon Looney,3,Q4,5,https://www.basketball-reference.com/boxscores/202310240GSW.html,0,GSW,0,0,1
0,0,1,1,0,0,20231101,3:47,1,Jakob Poeltl,2,Q4,1,https://www.basketball-reference.com/boxscores/202311010TOR.html,0,TOR,0,0,1
0,0,3,3,0,0,20231101,3:47,1,Dennis Schröder,7,Q4,1,https://www.basketball-reference.com/boxscores/202311010TOR.html,0,TOR,1,1,0
0,0,2,2,0,0,20231201,5:50,1,Derrick Jones Jr.,6,Q4,0,https://www.basketball-reference.com/boxscores/202312010DAL.html,0,DAL,2,2,0
